,ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
755,1251281,m,9/9/1991,74.3,matriculation,2009,71.25,state board,519,2,B.Tech/B.E.,electronics and communication engineering,67.0,519,1,Tamil Nadu,2013,325,425,475,0.783303537,275,388,-1,-1,-1,-1,-1,-0.159,0.0459,0.9322,-0.3612,0.2889,225000
756,140121,m,6/15/1988,90.24,karnataka state secondary education board,2006,81.5,karnataka state board,6810,2,M.Tech./M.E.,electronics and communication engineering,82.0,6810,0,Karnataka,2012,475,415,455,0.824666401,425,400,-1,-1,-1,-1,-1,0.3555,0.6568,1.1074,-0.9953,0.9763,90000
758,652269,m,12/27/1991,76.0,icse,2009,74.0,cbse,13375,2,B.Tech/B.E.,civil engineering,77.0,13375,0,Tamil Nadu,2013,475,500,500,0.839686084,-1,-1,-1,-1,-1,-1,433,-0.4463,0.2124,-1.527,-0.4879,-0.6692,180000
759,161107,m,2/16/1989,62.88,state,2006,77.5,state,315,2,B.Tech/B.E.,information technology,70.0,315,1,Karnataka,2010,455,515,405,0.884122512,535,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.344,-0.7603,0.6603,560000
760,553371,f,9/30/1990,72.0,cbse,2009,73.0,cbse,13210,2,B.Tech/B.E.,computer engineering,71.0,13210,0,Uttar Pradesh,2013,485,465,400,0.765673581,485,-1,-1,-1,-1,-1,-1,-0.7335,-0.2871,-0.1437,1.9207,-0.6692,335000
761,869283,f,1/3/1993,90.0,state board,2010,75.75,state board,8888,2,B.Tech/B.E.,information technology,72.0,8888,0,Tamil Nadu,2014,405,470,340,0.23780284,435,-1,315,-1,-1,-1,-1,0.1282,0.2124,0.1637,0.1459,-0.6692,100000
762,327759,m,10/5/1990,81.6,cbse,2008,87.6,cbse,13,1,B.Tech/B.E.,computer engineering,76.48,13,1,Delhi,2012,465,605,555,0.930370607,565,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-0.1437,-0.2344,-0.4776,880000
764,669596,f,5/5/1991,78.0,state board,2009,76.0,state board,7269,2,B.Tech/B.E.,electronics and communication engineering,73.0,7269,1,Telangana,2013,405,400,355,0.538386893,325,333,-1,-1,-1,260,-1,-0.7335,-0.1206,-2.1418,0.9066,-1.0524,45000
765,431800,m,10/23/1990,60.8,cbse,2008,62.4,cbse,5232,2,B.Tech/B.E.,electronics and communication engineering,60.0,5232,0,Haryana,2012,495,425,645,0.538386893,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354,200000
766,332049,f,5/4/1990,86.2,cbse,2008,69.8,cbse,10932,2,B.Tech/B.E.,electronics and communication engineering,68.4,10932,0,Uttar Pradesh,2012,505,405,515,0.376059587,-1,300,-1,-1,-1,393,-1,0.9737,0.5008,-0.3803,0.76733,0.8183,150000
767,600302,f,9/10/1989,84.5,ssc,2007,94.0,ipe,9198,2,B.Tech/B.E.,electronics and communication engineering,71.82,9198,1,Telangana,2011,475,485,665,0.694479328,395,366,-1,-1,-1,286,-1,-0.159,-0.1206,-0.4511,1.2869,0.6721,200000
769,1193753,f,9/13/1992,91.6,state board,2010,88.9,state board,11871,2,B.Tech/B.E.,electronics and communication engineering,75.3,11871,0,Andhra Pradesh,2014,420,540,595,0.112139438,365,228,-1,-1,-1,-1,-1,-0.159,0.5454,-0.4511,1.5404,0.4805,300000
770,345838,m,5/29/1991,89.0,0,2008,96.7,0,6659,2,B.Tech/B.E.,electronics and communication engineering,92.0,6659,1,Tamil Nadu,2012,525,475,375,0.0587928,365,200,-1,-1,-1,393,-1,-0.6491,-0.4353,0.672,1.85433,-0.1295,225000
772,576122,m,7/3/1991,71.0,up board,2007,72.6,up board,144,2,B.Tech/B.E.,computer engineering,73.6,144,0,Uttar Pradesh,2013,360,425,445,0.3423149,365,-1,-1,-1,-1,-1,-1,0.8463,-0.6201,0.6248,-0.2344,1.0554,200000
773,223303,m,7/29/1989,84.2,cbse,2006,77.4,cbse,3395,1,B.Tech/B.E.,electronics and communication engineering,78.9,3395,0,West Bengal,2011,505,555,495,0.694479328,415,366,-1,-1,-1,-1,-1,-1.8083,0.1888,-0.6343,1.2374,-0.2875,405000
777,357389,f,12/3/1991,91.8,cbse,2009,85.0,cbse,527,2,B.Tech/B.E.,electronics and communication engineering,74.7,527,0,Haryana,2013,554,465,525,0.376059587,-1,300,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.5051,0.2973,0.4234,350000
778,52581,m,6/1/1987,65.5,karnataka secondary education,2006,69.5,"department of technical education, bangalore",356,2,B.Tech/B.E.,information technology,56.7,356,1,Karnataka,2009,405,355,295,0.276047228,345,-1,-1,-1,-1,-1,-1,-0.881,0.5008,-0.1988,0.0623,0.9763,180000
779,1063454,m,8/25/1989,75.0,state board,2008,71.5,state board,347,2,B.Tech/B.E.,electronics and electrical engineering,64.0,347,0,Uttar Pradesh,2013,615,555,355,0.115022726,-1,-1,-1,-1,292,-1,-1,1.5644,0.8784,0.4711,-1.5021,-2.0105,300000
780,869474,m,12/17/1992,91.5,state board,2010,75.5,state board,8888,2,B.Tech/B.E.,mechanical engineering,76.0,8888,0,Tamil Nadu,2014,475,450,150,0.45901584,-1,-1,-1,376,-1,-1,-1,-1.1644,-0.6201,0.7785,1.5404,-0.2859,240000
784,278656,m,9/20/1989,67.8,up board,2006,74.0,up board,568,2,B.Tech/B.E.,computer engineering,70.4,568,0,Uttar Pradesh,2011,565,585,565,0.884122512,535,-1,-1,-1,-1,-1,-1,-1.6538,0.8128,1.688,-0.1727,0.9763,305000
785,662008,f,11/13/1987,75.0,state board,2010,78.0,west bengal state council of technical education,12992,2,B.Tech/B.E.,computer engineering,71.1,12992,1,West Bengal,2013,415,440,355,0.488347977,405,-1,-1,-1,-1,-1,-1,0.8463,1.3779,1.0859,-0.995,1.247,100000
786,453187,m,3/28/1990,65.0,cbse,2008,56.0,cbse,11759,2,MCA,computer application,67.37,11759,0,Uttarakhand,2014,465,560,365,0.842248322,465,-1,469,-1,-1,-1,-1,1.4208,1.2114,0.6248,-1.7556,0.4805,180000
787,238392,f,9/24/1989,91.0,0,2007,82.0,0,1067,2,B.Tech/B.E.,information technology,76.0,1067,0,Karnataka,2011,425,465,525,0.81941653,505,-1,-1,-1,-1,-1,-1,1.1283,-0.1232,0.8171,-1.7004,0.5024,450000
790,593082,f,12/13/1992,81.6,ssc,2009,87.9,board of secondary school of education,11183,2,B.Tech/B.E.,electronics and communication engineering,77.4,11183,1,Telangana,2013,555,465,605,0.694479328,375,366,-1,-1,-1,393,-1,1.4208,0.8784,-0.4511,-2.2627,0.0973,335000
791,1279983,f,6/25/1991,73.0,cbse,2009,74.6,cbse,1875,2,B.Tech/B.E.,computer engineering,79.21,1875,0,Uttar Pradesh,2014,430,445,495,0.356536488,385,-1,346,-1,-1,-1,-1,-3.1752,-4.2831,-2.2954,-1.1218,-6.6092,200000
792,330102,f,9/3/1990,87.5,ssc,2008,95.3,board of intermediate,11183,2,B.Tech/B.E.,electronics and communication engineering,80.95,11183,1,Telangana,2012,425,465,535,0.538386893,335,333,-1,-1,-1,446,-1,0.3941,0.6568,-1.0697,0.0917,0.3444,100000
793,597697,m,3/1/1992,83.6,cbse,2009,85.4,cbse,47,1,B.Tech/B.E.,computer engineering,73.3,47,1,Delhi,2013,580,620,750,0.952245573,585,-1,-1,-1,-1,-1,-1,1.1336,0.8784,-0.4511,-0.7415,1.4386,325000
794,655270,f,7/5/1991,83.0,state board,2008,73.0,state board,8310,2,B.Tech/B.E.,computer engineering,74.0,8310,1,Rajasthan,2013,345,435,445,0.563267824,425,-1,-1,-1,-1,-1,-1,0.99,-0.7866,1.2396,1.0333,-2.7769,250000
795,988792,f,11/13/1989,68.0,cbse,2008,74.0,cbse,2647,2,MCA,computer application,76.0,2647,0,Uttar Pradesh,2014,360,545,520,0.744758354,415,-1,438,-1,-1,-1,-1,-0.0154,-0.7866,0.7785,0.9066,0.4805,200000
796,127002,m,1/5/1989,87.8,ssc,2006,95.0,board of intermediate,1487,2,B.Tech/B.E.,electronics and communication engineering,74.9,1487,0,Andhra Pradesh,2010,525,465,615,0.376059587,475,300,-1,-1,-1,-1,-1,-0.881,-1.8393,-1.7954,-0.2902,-2.0253,475000
797,337629,f,9/10/1990,93.5,0,2008,95.3,0,3076,2,B.Tech/B.E.,computer engineering,92.3,3076,0,Tamil Nadu,2012,415,575,405,0.987207086,645,-1,-1,-1,-1,-1,-1,-0.5719,1.0858,-0.9245,0.06223,0.1864,300000
799,531480,m,12/30/1991,91.0,board of ssc education andhra pradesh,2009,94.4,board of intmediate education ap,492,2,B.Tech/B.E.,electronics and electrical engineering,82.4,492,1,Telangana,2013,605,475,590,0.995265706,-1,533,-1,-1,-1,-1,-1,-1.1128,0.6568,-0.6343,2.0306,-1.5513,365000
802,860597,m,7/9/1991,73.0,state board,2009,85.4,state board,1390,2,B.Tech/B.E.,electronics and communication engineering,76.92,1390,0,Uttar Pradesh,2013,545,555,735,0.991397584,475,516,-1,-1,-1,-1,-1,-0.8772,-0.6201,-0.4511,0.0192,-1.6273,395000
804,555964,f,10/18/1991,86.4,0,2009,64.0,0,6970,2,B.Tech/B.E.,electronics and communication engineering,55.07,6970,1,Karnataka,2013,615,610,530,0.124502074,-1,233,-1,-1,-1,-1,-1,0.4155,0.5454,-1.0659,0.2727,1.0554,180000
807,669240,m,1/16/1992,61.1,state board,2007,60.0,state board,13808,2,B.Tech/B.E.,information technology,65.62,13808,0,Uttar Pradesh,2013,360,470,195,0.450876584,395,-1,-1,-1,-1,-1,-1,0.4155,-0.1206,0.3174,-0.2344,-0.6692,280000
808,283122,m,8/10/1989,62.0,up,2007,71.9,bteup,4234,2,B.Tech/B.E.,electronics and communication engineering,55.0,4234,0,Uttar Pradesh,2011,395,555,585,0.694479328,-1,366,-1,-1,-1,313,-1,0.6646,0.8128,1.3977,-0.0552,1.4502,150000
809,284738,m,11/3/1988,80.2,cbse,2006,73.0,cbse,568,2,B.Tech/B.E.,electronics and communication engineering,73.0,568,0,Uttar Pradesh,2011,625,615,575,0.538386893,575,333,-1,-1,-1,446,-1,0.8192,1.7488,1.2525,-0.0552,0.6603,470000
810,445747,m,11/12/1989,66.0,icse,2007,69.0,icse,13210,2,B.Tech/B.E.,information technology,63.0,13210,0,Uttar Pradesh,2012,735,464,535,0.488347977,405,-1,-1,-1,-1,-1,-1,-1.6538,-0.3183,-0.1626,0.6498,-1.2354,180000
812,580044,m,12/4/1990,81.8,cbse,2008,63.6,cbse,7783,2,B.Tech/B.E.,electronics and communication engineering,63.18,7783,1,Rajasthan,2012,500,545,485,0.538386893,-1,333,-1,-1,-1,-1,-1,-1.1644,0.7119,-0.2974,1.4136,0.0973,145000
813,632106,m,9/5/1992,72.0,state board,2008,63.0,state board,198,2,B.Tech/B.E.,electronics and communication engineering,65.0,198,0,Uttar Pradesh,2014,380,470,445,0.229481755,-1,266,-1,-1,-1,292,-1,-3.3188,-5.7816,-4.4472,-0.7415,-6.9925,180000
814,872029,m,12/14/1991,86.4,cbse,2009,69.0,cbse,347,2,B.Tech/B.E.,electronics and electrical engineering,73.0,347,0,Uttar Pradesh,2014,530,520,750,0.423951396,315,324,-1,-1,388,-1,-1,1.2772,0.3789,-0.7585,-1.5021,-0.2859,180000
815,331779,m,1/26/1990,79.2,state board,2008,86.91,state board,8011,2,B.Tech/B.E.,information technology,70.5,8011,0,Tamil Nadu,2012,315,245,305,0.276047228,345,-1,-1,-1,-1,-1,-1,-1.0355,-2.0733,-1.2511,0.17983,-1.5513,160000
816,586115,m,3/10/1990,74.0,wbbse,2007,71.0,wbbhse,13040,2,B.Tech/B.E.,information technology,80.7,13040,1,West Bengal,2012,500,520,455,0.864685413,525,-1,-1,-1,-1,-1,-1,-1.308,1.3779,1.0859,-0.6147,-0.6692,145000
817,389449,f,11/8/1990,86.8,cbse,2008,84.6,cbse,7557,2,B.Tech/B.E.,computer engineering,83.9,7557,1,Delhi,2012,435,575,454,0.735795709,475,-1,-1,-1,-1,-1,-1,0.3555,0.8128,-0.4891,-0.6428,-0.7615,420000
818,48647,m,11/27/1987,74.4,kseeb,2005,79.0,pub,1859,2,B.Tech/B.E.,information technology,62.81,1859,0,Karnataka,2009,495,495,455,0.968237496,605,-1,-1,-1,-1,-1,-1,0.8192,1.7488,-0.1988,-1.9354,0.1864,600000
819,289737,m,5/24/1989,80.5,board of secondary education,2008,71.25,diploma in computers,1422,2,B.Tech/B.E.,computer engineering,65.0,1422,0,Andhra Pradesh,2011,615,555,645,0.901489571,545,-1,-1,-1,-1,-1,-1,-0.2628,0.8128,-1.3599,-0.1727,0.1864,300000
820,407686,m,11/11/1990,90.5,0,2008,95.3,0,3801,2,B.Tech/B.E.,information technology,88.8,3801,0,Karnataka,2012,735,565,554,0.843123727,515,-1,-1,-1,-1,-1,-1,0.2782,0.8128,0.0914,-0.8778,-0.1295,400000
821,765578,f,8/4/1992,83.33,state board,2009,93.5,state board,13994,2,B.Tech/B.E.,electronics and electrical engineering,68.48,13994,0,Andhra Pradesh,2013,500,400,355,0.966006923,405,-1,-1,-1,580,-1,-1,0.2718,-0.7866,-0.4511,0.3995,0.8637,145000
822,941984,m,8/24/1992,68.0,cbse,2010,74.0,cbse,272,2,B.Tech/B.E.,mechanical engineering,71.2,272,0,Punjab,2014,570,570,530,0.598280691,-1,-1,-1,407,-1,-1,-1,0.7027,-0.2871,-0.2974,-0.7415,-0.6692,180000
823,1274900,m,10/30/1991,69.0,cbse,2009,74.0,cbse,930,2,B.Tech/B.E.,electronics and communication engineering,74.0,930,1,Rajasthan,2013,535,565,595,0.997298968,-1,548,-1,-1,-1,-1,-1,1.5644,0.3789,-1.2196,-1.8824,-0.2859,220000
824,451922,f,11/7/1990,85.0,stateboard,2008,73.0,stateboard,11283,2,B.Tech/B.E.,electronics and electrical engineering,77.0,11283,0,Tamil Nadu,2012,355,405,305,0.124502074,315,233,-1,-1,-1,-1,-1,-0.2628,1.1248,-2.0856,-0.5253,-0.7615,100000
825,602117,m,12/20/1990,81.0,cbse,2008,76.4,cbse,196,2,B.Tech/B.E.,mechanical engineering,69.7,196,0,Haryana,2012,510,385,455,0.840840969,-1,-1,-1,473,-1,-1,-1,0.8463,-0.9531,-0.7585,-1.3753,-2.2021,455000
827,1218872,f,3/16/1991,80.6,cbse,2008,69.0,cbse,9256,2,B.Tech/B.E.,information technology,54.0,9256,0,Rajasthan,2014,710,570,595,0.911395278,415,-1,500,-1,-1,-1,-1,-0.8772,-1.4526,-1.0659,1.0333,-0.4776,150000
828,313081,m,8/10/1990,72.6,cbse,2007,66.6,cbse,6270,2,B.Tech/B.E.,electronics and electrical engineering,60.0,6270,0,Uttarakhand,2011,535,525,535,0.229481755,-1,266,-1,-1,-1,-1,-1,-0.4173,-1.0593,0.0914,-1.49467,-0.6035,100000
829,425471,m,8/13/1991,70.0,cbse,2008,73.8,cbse,75,2,B.Tech/B.E.,computer engineering,79.12,75,0,Uttar Pradesh,2012,515,555,554,0.864685413,525,-1,-1,-1,-1,-1,-1,-1.4992,0.3448,-2.3759,-0.9953,-0.2875,305000
830,330663,f,2/27/1991,80.83,ssc,2008,92.2,bie,9837,2,B.Tech/B.E.,computer engineering,78.85,9837,1,Telangana,2012,445,605,625,0.843123727,515,-1,-1,-1,-1,-1,-1,0.6646,0.7348,-1.1422,0.4148,-0.4455,410000
832,78510,m,2/11/1988,76.4,0,2005,78.2,0,182,2,B.Tech/B.E.,electronics and communication engineering,55.0,182,1,Karnataka,2010,575,525,585,0.376059587,305,300,-1,-1,-1,-1,-1,-0.7264,1.2808,0.2366,0.6498,-0.1295,220000
833,869298,f,6/2/1993,85.0,state board,2010,74.0,state board,2959,2,B.Tech/B.E.,information technology,74.9,2959,0,Tamil Nadu,2014,450,425,545,0.356536488,385,-1,346,-1,-1,-1,-1,0.7027,0.7119,1.3933,-0.1076,0.0973,220000
835,580616,f,9/14/1991,87.0,cbse,2009,84.4,cbse,8195,1,B.Tech/B.E.,computer engineering,79.3,8195,1,Delhi,2013,570,475,295,0.413838256,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,360000
837,283274,m,6/13/1988,60.83,u p board,2006,70.4,u p board,4234,2,B.Tech/B.E.,information technology,70.38,4234,0,Uttar Pradesh,2011,355,515,595,0.793580615,495,-1,-1,-1,-1,-1,-1,0.8192,0.6568,0.672,-0.1727,0.0284,600000
839,511778,m,8/12/1991,60.5,"board of secondary education, rajasthan",2009,72.15,"board of secondary education, rajasthan",129,2,MCA,computer application,81.0,129,0,Tamil Nadu,2015,345,410,500,0.670743151,455,-1,-1,-1,-1,-1,-1,0.8192,-0.3684,-0.2882,0.0623,-0.7615,325000
840,355922,m,2/27/1992,88.2,cbse,2008,76.5,chse,9786,2,B.Tech/B.E.,electronics and communication engineering,68.34,9786,0,Orissa,2012,535,395,575,0.538386893,375,333,-1,-1,-1,393,-1,-0.881,-2.3073,-1.7954,0.3561,-0.2875,315000
842,309046,m,11/21/1993,71.0,cbse,2009,60.0,cbse,5904,2,B.Tech/B.E.,information technology,63.0,5904,0,Uttar Pradesh,2013,465,355,515,0.356536488,425,-1,346,-1,-1,-1,-1,-3.1994,-0.9033,-1.2148,-0.0552,-2.0253,250000
843,991880,m,7/24/1991,73.0,cbse,2009,64.0,cbse,9737,2,B.Tech/B.E.,electronics and electrical engineering,61.0,9737,0,Uttar Pradesh,2014,430,370,450,0.557389506,-1,388,-1,-1,420,-1,-1,0.1282,-0.9531,0.1637,0.653,0.2889,200000
844,1117475,f,11/16/1991,70.61,state board,2009,70.83,state board,16578,2,B.Tech/B.E.,computer engineering,60.0,16578,1,Maharashtra,2013,385,410,370,0.23780284,465,-1,315,-1,-1,-1,-1,-0.5899,-0.2871,0.7785,0.7798,-0.6692,200000
845,810433,f,8/5/1991,81.0,icse,2010,79.0,icse,64,2,B.Tech/B.E.,electronics and communication engineering,71.5,64,0,Uttar Pradesh,2014,510,500,575,0.493596387,455,324,-1,-1,-1,-1,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,400000
846,117082,m,3/6/1989,88.6,state board,2006,79.4,state board,4554,2,B.Tech/B.E.,electronics and communication engineering,69.47,4554,0,Tamil Nadu,2010,385,385,404,0.824666401,325,400,-1,-1,-1,-1,-1,-1.8083,-1.2153,-0.344,-0.2902,-0.9194,385000
847,1267278,m,12/9/1988,66.4,state board,2006,67.75,state board,4173,2,MCA,computer application,76.0,4173,1,Tamil Nadu,2013,535,480,260,0.622642916,585,-1,407,-1,-1,-1,-1,1.2772,1.3779,0.4711,-1.8824,0.2889,145000
849,658893,m,10/1/1990,92.6,cbse,2008,83.8,cbse,1825,1,B.Tech/B.E.,computer engineering,84.6,1825,0,West Bengal,2013,650,545,665,0.978799293,585,-1,561,-1,-1,-1,-1,1.1336,1.0449,1.3933,-0.4879,0.2889,365000
850,669368,m,11/7/1991,81.38,state board,2009,71.33,state board,11629,2,B.Tech/B.E.,information technology,65.97,11629,0,Maharashtra,2013,590,605,560,0.670743151,455,-1,-1,-1,-1,-1,-1,1.1336,0.7119,0.4711,-0.8682,1.247,320000
851,1106147,m,6/8/1992,86.8,cbse,2010,79.2,cbse,5147,2,B.Tech/B.E.,electronics and communication engineering,72.86,5147,0,Jammu and Kashmir,2014,440,570,630,0.493596387,545,324,-1,-1,-1,-1,-1,-1.1644,-0.1206,-0.7585,-0.6147,-0.2859,350000
852,307328,m,8/8/1990,75.0,cbse,2008,72.0,cbse,6037,2,B.Tech/B.E.,electronics and electrical engineering,66.98,6037,0,Uttar Pradesh,2012,645,375,465,0.229481755,-1,266,-1,-1,-1,-1,-1,-2.1175,-0.2793,0.5269,1.3549,-1.0774,120000
853,1274688,m,4/7/1992,64.6,state board,2009,62.2,state board,13355,2,MCA,computer application,78.0,13355,1,West Bengal,2014,520,420,415,0.276047228,345,-1,-1,-1,-1,-1,-1,0.7027,1.3779,0.1637,0.9066,-0.2859,175000
854,810113,m,4/25/1993,74.0,state board,2009,65.0,state board,350,2,B.Tech/B.E.,electronics and electrical engineering,73.0,350,0,Uttar Pradesh,2014,450,475,575,0.557389506,-1,324,-1,-1,420,-1,-1,-0.8772,0.3789,0.1637,1.4136,1.247,215000
855,905195,m,8/28/1991,80.0,cbse,2009,70.0,cbse,6290,1,B.Tech/B.E.,information technology,65.0,6290,0,Himachal Pradesh,2014,440,440,620,0.744758354,465,-1,438,-1,-1,-1,-1,-2.0262,-0.9531,0.9322,-0.4879,-0.4776,400000
856,1003364,m,5/12/1993,57.0,state board,2010,70.0,state board,16213,2,B.Tech/B.E.,information technology,68.88,16213,0,Uttar Pradesh,2014,325,350,390,0.356536488,415,-1,346,-1,-1,-1,-1,-0.8772,-3.4506,0.9322,1.6672,-1.244,180000
858,1218574,m,8/1/1991,69.2,cbse,2008,77.4,cbse,12601,2,MCA,computer application,76.72,12601,1,Delhi,2014,535,630,645,0.99966434,695,-1,684,-1,-1,-1,-1,-2.3134,1.0449,0.1637,1.5404,0.0973,350000
860,1085605,m,1/2/1992,74.0,state board,2009,94.0,state board,16187,2,B.Tech/B.E.,electronics and communication engineering,68.0,16187,1,Telangana,2013,395,370,310,0.279258512,255,-1,-1,-1,-1,292,-1,0.5591,0.8784,0.4711,-1.1218,1.247,200000
861,144942,m,4/5/1989,53.0,cbsc,2007,54.0,cbsc,1744,2,MCA,computer application,61.0,1744,0,Uttar Pradesh,2013,495,515,405,0.486747008,465,-1,376,-1,-1,-1,-1,0.8463,0.2124,0.9322,-2.2627,0.4805,205000
863,1122860,m,11/21/1992,91.71,icse,2010,88.83,icse,377,2,B.Tech/B.E.,electronics and communication engineering,75.0,377,0,Uttar Pradesh,2014,545,540,860,0.493596387,525,324,253,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.8682,0.8637,300000
865,636997,m,3/10/1992,77.5,state board,2008,67.0,state board,4501,2,B.Tech/B.E.,information technology,69.5,4501,0,Uttar Pradesh,2013,370,390,355,0.24545566,335,-1,-1,-1,-1,-1,-1,0.2718,-1.4526,0.7785,-0.3612,-0.6692,235000
867,1088771,m,1/27/1990,70.0,state board,2006,62.0,state board,14852,2,B.Tech/B.E.,information technology,63.3,14852,0,Uttar Pradesh,2012,350,485,485,0.744758354,385,-1,438,-1,-1,-1,-1,0.5591,0.5454,-0.1437,0.9066,0.8637,180000
868,878500,m,2/23/1993,91.2,matriculation,2010,89.0,state board,12187,2,B.Tech/B.E.,mechanical engineering,79.8,12187,0,Tamil Nadu,2014,570,580,355,0.328746379,-1,-1,-1,346,-1,-1,-1,-0.159,0.8784,-1.6807,0.3995,-1.0524,75000
869,479756,m,12/10/1990,77.6,bharathi matriculation school,2008,71.2,jaycee matriculation school,4042,2,B.Tech/B.E.,information technology,68.0,4042,0,Tamil Nadu,2012,425,605,475,0.308400583,355,-1,-1,-1,-1,-1,-1,-0.881,0.5008,-0.4891,-0.6428,0.7788,300000
870,1077690,m,6/24/1992,81.14,icse,2010,76.4,cbse,7627,2,B.Tech/B.E.,electronics and communication engineering,69.2,7627,0,Uttar Pradesh,2014,595,460,595,0.783303537,-1,388,-1,-1,-1,-1,-1,1.1336,0.3789,1.2396,-0.8682,1.0554,275000
872,669934,m,6/2/1992,74.0,rajasthan board,2009,79.23,rajasthan board,9699,2,B.Tech/B.E.,computer engineering,69.0,9699,1,Rajasthan,2013,345,485,590,0.563267824,425,-1,-1,-1,-1,-1,-1,-0.4463,-2.2851,-0.6048,2.1743,-2.7595,200000
873,655292,f,5/29/1992,70.0,state board,2009,62.0,state board,8310,2,B.Tech/B.E.,computer engineering,64.9,8310,1,Rajasthan,2013,345,425,280,0.356536488,345,-1,346,-1,-1,-1,-1,-0.3027,-0.7866,-0.1437,-0.8682,-0.2859,180000
874,1027655,m,7/2/1992,89.92,state board,2010,87.0,state board,5086,2,B.Tech/B.E.,electronics and communication engineering,76.32,5086,0,Karnataka,2014,560,555,620,-1.0,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,300000
875,624843,f,9/26/1991,78.0,state board,2009,79.8,state board,4233,2,B.Tech/B.E.,electrical engineering,76.0,4233,0,Tamil Nadu,2013,450,475,165,0.017704842,355,-1,-1,-1,206,-1,-1,-0.3027,-0.9531,0.6248,0.3995,-1.244,110000
876,1058932,m,10/26/1989,73.0,cbse,2006,61.6,cbse,2177,1,B.Tech/B.E.,information technology,66.9,2177,0,Rajasthan,2013,595,570,725,0.953899775,535,-1,530,-1,-1,-1,-1,-0.4463,0.5454,0.4711,0.7798,-0.8608,400000
878,256680,m,8/25/1989,59.0,icse,2007,54.14,puc,1461,2,B.Tech/B.E.,information technology,58.0,1461,0,Karnataka,2011,445,335,455,0.450876584,395,-1,-1,-1,-1,-1,-1,-0.4173,-0.4353,-0.9245,1.8249,-0.2875,520000
879,1076044,m,1/7/1992,83.3,state board,2009,92.4,state board,4344,2,B.Tech/B.E.,electronics and communication engineering,66.65,4344,0,Andhra Pradesh,2013,510,555,535,-1.0,405,-1,346,-1,-1,-1,-1,0.7027,0.2124,0.6248,-0.3612,0.6721,360000
880,677102,f,11/2/1992,58.2,state board,2009,69.6,state board,8954,2,B.Tech/B.E.,electronics and communication engineering,66.2,8954,0,Rajasthan,2013,465,510,455,0.694479328,-1,366,-1,-1,-1,366,-1,-1.5953,0.2124,0.7785,1.0333,1.0554,170000
881,243794,m,5/31/1989,80.2,cbse,2007,77.2,cbse,2656,2,B.Tech/B.E.,electronics and electrical engineering,79.0,2656,0,Haryana,2011,695,445,585,0.910770164,-1,433,-1,-1,-1,-1,-1,0.0464,0.9688,1.2525,0.1798,0.1864,475000
882,1123216,m,11/12/1989,65.0,state board,2007,62.0,state board,1060,2,B.Tech/B.E.,electronics and communication engineering,60.0,1060,0,Orissa,2012,385,510,295,0.436962648,335,-1,-1,-1,-1,324,-1,0.8463,0.8784,-0.6048,-0.7415,1.247,100000
883,436253,f,10/29/1989,84.14,cbse,2007,73.61,cbse,48,1,B.Tech/B.E.,computer engineering,76.09,48,1,Delhi,2012,445,475,595,0.793580615,495,-1,-1,-1,-1,-1,-1,-1.8083,0.0328,-1.0697,-0.0552,-0.7615,200000
884,1171988,f,10/7/1991,90.0,state board,2009,91.8,state board,631,2,B.Tech/B.E.,electronics and communication engineering,75.0,631,0,Kerala,2013,560,520,390,-1.0,-1,-1,-1,-1,-1,-1,-1,0.5591,0.2124,-0.7585,0.3995,0.6721,320000
885,267894,m,1/9/1988,76.6,cbse,2005,65.6,cbse,462,2,B.Tech/B.E.,electronics and communication engineering,58.0,462,1,Karnataka,2011,455,475,665,0.910770164,-1,433,-1,-1,-1,286,-1,-0.1082,-0.7473,-1.0697,0.5323,-0.8799,190000
886,807306,m,6/11/1988,54.8,cbse,2005,52.8,cbse,11759,2,MCA,computer application,72.27,11759,0,Uttarakhand,2014,335,570,515,0.842248322,605,-1,469,-1,-1,-1,-1,-1.7389,-1.4526,-1.3733,0.2727,-2.0105,150000
890,206734,m,11/7/1988,60.0,0,2004,59.0,0,144,2,B.Tech/B.E.,computer engineering,67.0,144,0,Uttar Pradesh,2011,515,555,425,0.600057182,435,-1,-1,-1,-1,-1,-1,-0.881,-0.2793,-0.6343,-0.6428,-2.9731,675000
